front;back;level;category;type
引;ひ(く) / ひ(き) / いん / Puxar - arrastar;B6;;Kanji
引き出し;ひきだし / Gaveta;B6;;Vocabulário
引力;いんりょく / Força de atração;B6;;Vocabulário
引用;いんよう / Citação - referência;B6;;Vocabulário
達;だち -  達(する) / Alcançar - atingir;B6;;Kanji
友達;ともだち / Amigo;B6;;Vocabulário
発達;はったつ / Desenvolvimento;B6;;Vocabulário
罪;つみ / ざい / Crime - pesado;B6;;Kanji
罪人;ざいにん / Criminoso;B6;;Vocabulário
犯罪;はんざい / Crime;B6;;Vocabulário
代;か(わる) / か(わり) / だい / Substituição - era - tarifa - período;B6;;Kanji
時代;じだい / Era;B6;;Vocabulário
現代;げんだい / Atual;B6;;Vocabulário
近代的;きんだいてき / Moderno;B6;;Vocabulário
代わりに;かわりに / Em vez de - no lugar de;B6;;Vocabulário
喜;よろこ(ぶ) / き / Alegria;B6;;Kanji
喜劇;きげき / Comédia;B6;;Vocabulário
助;たす(ける) / たす(かる) / じょ / Ajudar - salvar;B6;;Kanji
助手;じょしゅ / Ajudante;B6;;Vocabulário
持;も(つ) / も(ち) / じ / Segurar - possuir;B6;;Kanji
気持ち;きもち / Sentimento;B6;;Vocabulário
金持ち;かねもち / Rico;B6;;Vocabulário
持続;じぞくする / Continuar;B6;;Vocabulário
早;はや(い) / そう / Cedo;B6;;Kanji
早口;はやくち / Trava -língua;B6;;Vocabulário
早朝;そうちょう / De manhã cedo;B6;;Vocabulário
早速;さっそく / Imediatamente;B6;;Vocabulário
船;ふね / せん / Navio;B6;;Kanji
船便;ふなびん / Vila Marítima ;B6;;Vocabulário
船員;せんいん / Marinheiro;B6;;Vocabulário
首;くび / しゅ / Pescoço;B6;;Kanji
首輪;くびわ / Coleira;B6;;Vocabulário
首都;しゅと / Capital;B6;;Vocabulário
恩;おん / Benção - bondade - misericórdia;B6;;Kanji
恩人;おんじん / Benfeitor;B6;;Vocabulário
恩返し;おんがえし / Retribuição do favor;B6;;Vocabulário
決;き(める) / き(まる) / けつ / Decidir - determinar ;B6;;Kanji
決心;けっしん / Resolução;B6;;Vocabulário
決勝;けっしょう / Final (jogo);B6;;Vocabulário
礼;(お)れい / Agradecimento;B6;;Kanji
礼儀;れいぎ / Etiqueta - boas maneiras;B6;;Vocabulário
失礼;しつれい / Grosseria - indelicadeza;B6;;Vocabulário
宮;みや / せん / きゅう / く / ぐう / Templo xintoísta - palácio - princesa;B6;;Kanji
宮殿;きゅうでん / Palácio;B6;;Vocabulário
神宮;じんぐう / Templo xintoísta;B6;;Vocabulário
連;つ(れる) / つら(ねる) / つら(なる) / れん / Levar;B6;;Kanji
連れて行く ;つれていく / Levar alguém;B6;;Vocabulário
連絡;れんらく / Comunicar - ligar - entrar em contato;B6;;Vocabulário
背;せ / はい / Costas - estatura - alta;B6;;Kanji
背中;せなか / Costas;B6;;Vocabulário
背広;せびろ / Terno;B6;;Vocabulário
背骨;せぼね / Coluna vertebral;B6;;Vocabulário
乗;の(る) / しゅう / Montar - embarcar - subir ;B6;;Kanji
乗り物;のりもの / Meio de transporte;B6;;Vocabulário
乗客;じょうきゃく / Passageiro;B6;;Vocabulário
玉;たま / ぎょく / Bola - jóia;B6;;Kanji
目玉;めだま / Globo ocular;B6;;Vocabulário
シャボン玉;シャボンだま / Bolinha de sabão;B6;;Vocabulário
様;さま / よう / Aspecto - Estado - honorífico;B6;;Kanji
田中様;たなかさま / Tanaka -sama;B6;;Vocabulário
王様;おうさま / Rei;B6;;Vocabulário
様子;ようす / Estado - situação;B6;;Vocabulário
変;か(える) / か(わる) / へん / Mudar - estranho;B6;;Kanji
変化 ;へんか / Mudança;B6;;Vocabulário
変;へんな / Estranho;B6;;Kanji
類;るい / Variedade - classe - tipo - gênero;B6;;Kanji
種類;しゅるい / Tipo - variedade;B6;;Vocabulário
人類学;じんるいがく / Antropologia;B6;;Vocabulário
親類;しんるい / Parente;B6;;Vocabulário
悲;かな(しい) / はな(しむ) / Triste - pesar;B6;;Kanji
悲運;ひうん / Má sorte;B6;;Vocabulário
悲しさ;かなしさ / Tristeza;B6;;Vocabulário
悲観;ひかん / Desânimo;B6;;Vocabulário
若;わか(い) / わか(さ) / じゃく / Jovem;B6;;Kanji
若さ;わか(さ) / Juventude;B6;;Vocabulário
若年;じゃくねん / Juventude;B6;;Vocabulário
病;やまい / びょう / Doença;I1;;Kanji
病気;びょうき / Doença;I1;;Vocabulário
病院;びょういん / Hospital;I1;;Vocabulário
病人;びょうにん / Paciente - doente;I1;;Vocabulário
院;いん / Instituição - templo;I1;;Kanji
入院する;にゅういん / Internar;I1;;Vocabulário
大学院;だいがくいん / Pós -graduação;I1;;Vocabulário
平等院;びょうどういん / Nome de um templo budista;I1;;Vocabulário
医;い / Medicina;I1;;Kanji
医者;いしゃ / Médico;I1;;Vocabulário
医学;いがく / Medicina;I1;;Vocabulário
者;もの / しゃ / Pessoa;I1;;Kanji
学者;がくしゃ / Erudito;I1;;Vocabulário
司会者;しかいしゃ / Apresentador;I1;;Vocabulário
痛;いた(い)  / いた(む) / つう / Dor - doer - dolorido - doloroso;I1;;Kanji
痛み止め;いたみどめ / Analgésico;I1;;Vocabulário
頭痛;ずつう / Dor de cabeça;I1;;Vocabulário
科;か / Departamento - seção;I1;;Kanji
科学;かがく / Ciências;I1;;Vocabulário
外科医;げかい / Cirurgião;I1;;Vocabulário
教科書;きょうかしょ / Livro didático;I1;;Vocabulário
胃;い / Estômago;I1;;Kanji
胃炎;いえん / Gastrite;I1;;Vocabulário
血;ち / けつ / Sangue;I1;;Kanji
血液;けつえき/ Sangue;I1;;Vocabulário
血圧;けつあつ / Pressão sanguínea;I1;;Vocabulário
原;はら / げん / Campo - original;I1;;Kanji
野原;のはら / Campo;I1;;Vocabulário
原子;げんし / Átomo;I1;;Vocabulário
原因;げんいん / Causa - razão;I1;;Vocabulário
因;いん / Causa - motivo;I1;;Kanji
原因;げんいん / Causa - motivo;I1;;Vocabulário
歯;は / し / Dente;I1;;Kanji
歯医者;はいしゃ / Dentista;I1;;Vocabulário
顔;かお / がん / Rosto;I1;;Kanji
顔色;かおいろ / Semblante;I1;;Vocabulário
洗顔する;せんがん / Lavar o rosto;I1;;Vocabulário
薬;くすり / やく / Remédio;I1;;Kanji
薬屋;くすりや / Farmácia;I1;;Vocabulário
目薬;めぐすり / Colírio;I1;;Vocabulário
局;きょく / Repartição;I1;;Kanji
電話局;でんわきょく / Companhia telefônica;I1;;Vocabulário
薬局;やっきょく / Farmácia;I1;;Vocabulário
無;な(い) / む / ぶ / Nada - inexistente;I1;;Kanji
無理;むり / Impossível;I1;;Vocabulário
無事;ぶじ / Segurança;I1;;Vocabulário
起;お(きる) / お(こす) / お(こる) / き / Acordar - acontecer;I1;;Kanji
疲;つか(れる) / ひ / Cansar - cansar -se;I1;;Kanji
働;はたら(く) / どう / Trabalhar;I1;;Kanji
労働者;ろうどうしゃ / Trabalhador;I1;;Vocabulário
切;き(る) / せつ / Cortar;I1;;Kanji
切手;きって / Selo;I1;;Vocabulário
切符;きっぷ / Bilhete;I1;;Vocabulário
大切;たいせつ / Importante;I1;;Vocabulário
寝;ね(る) / しん / Dormir;I1;;Kanji
昼寝 ;ひるね / Sesta;I1;;Vocabulário
寝室;しんしつ / Quarto de dormir;I1;;Vocabulário
温;あたた(かい) / あたた(める) / あたた(まる) / Morno - aquecer;I1;;Kanji
温度;おんど / Temperatura;I1;;Vocabulário
温室;おんしつ / Estufa;I1;;Vocabulário
熱;あつ(い) / ねつ / Quente - febre;I1;;Kanji
熱心;ねっしん / Paixão - empolgação;I1;;Vocabulário
住;す(む) / じゅう / Morar;I1;;Kanji
住宅;じゅうたく / Residência;I1;;Vocabulário
住所;じゅうしょ / Endereço;I1;;Vocabulário
開;あ(く) / あ(ける) / ひら(く) / ひら(ける) / かい / Abrir;I1;;Kanji
開店;かいてん / Inauguração de loja;I1;;Vocabulário
閉;"し(める) / し(まる) / と(じる) / Fechar
";I1;;Kanji
閉会;へいかい / Encerrar sessão;I1;;Vocabulário
晴;は(れ) / は(れる) / せい / Tempo bom - ensolarado - clarear;I1;;Kanji
集;あつ(まる) / あつ(める) / しゅう / Juntar - reunir ;I1;;Kanji
集合;しゅうごう / Encontro - reunião;I1;;Vocabulário
集中;しゅうちゅう / Concentração;I1;;Vocabulário
屋;や / おく / Telhado - loja - casa;I1;;Kanji
肉屋;にくや / Açougue;I1;;Vocabulário
花屋;はなや / Floricultura;I1;;Vocabulário
屋上;おくじょう / Terraço;I1;;Vocabulário
商;しょう / Comércio - negócio;I1;;Kanji
商品 ;しょうひん / Mercadoria;I1;;Vocabulário
商売 ;しょうばい / Comércio;I1;;Vocabulário
商店;しょうてん / Loja;I1;;Vocabulário
館;かん / Prédio grande;I1;;Kanji
映画館;えいがかん / Cinema;I1;;Vocabulário
大使館 ;たいしかん / Embaixada;I1;;Vocabulário
図書館;としょかん / Biblioteca;I1;;Vocabulário
寺;てら / じ / Templo budista;I1;;Kanji
東大寺;とうだいじ / Templo Toudaiji;I1;;Vocabulário
階;かい / Andares;I1;;Kanji
一階;いっかい / Primeiro andar;I1;;Vocabulário
階段;かいだん / Escada;I1;;Vocabulário
段階;だんかい / Etapa - fase;I1;;Vocabulário
不;ふ / ぶ / Prefixo de negação;I1;;Kanji
不便;ふべん / Inconveniente;I1;;Vocabulário
不運;ふうん / Má sorte;I1;;Vocabulário
不足する;ふそく / Faltar;I1;;Vocabulário
便;たよ(り) / べん / びん / Conveniência - notícia - correspondência;I1;;Kanji
便利;べんり / Pático - útil;I1;;Vocabulário
航空便;こうくうびん / Via aérea;I1;;Vocabulário
公;おおやけ / こう / Público;I1;;Kanji
公園;こうえん / Parque;I1;;Vocabulário
公立;こうりつ / Público;I1;;Vocabulário
公開;こうかい / Abrir ao público;I1;;Vocabulário
族;ぞく / Família;I1;;Kanji
家族;かぞく / Família;I1;;Vocabulário
民族;みんぞく / Etnia;I1;;Vocabulário
図;ず / と / Mapa - plano;I1;;Kanji
図書館;としょかん / Biblioteca;I1;;Vocabulário
地図;ちず / Mapa;I1;;Vocabulário
市;いち / し / Cidade;I1;;Kanji
市民;しみん / Cidadão;I1;;Vocabulário
市立;しりつ / Município;I1;;Vocabulário
市場;いちば・しじょう / Mercado;I1;;Vocabulário
交;ま(じる) / まじ(わる) / ま(ぜる) / ま(ざる) / こう / Misturar / ;I1;;Kanji
交通;こうつう / Trânsito;I1;;Vocabulário
外交;がいこう / Diplomacia;I1;;Vocabulário
宅;たく / Casa - residência;I1;;Kanji
自宅;じたく/ A própria residência;I1;;Vocabulário
帰宅する;きたく / Voltar para casa;I1;;Vocabulário
民;たみ / みん / Povo - nação;I1;;Kanji
国民;こくみん / Povo ;I1;;Vocabulário
部;ぶ / Departamento - parte;I1;;Kanji
全部;ぜんぶ  / Tudo;I1;;Vocabulário
営業部;"えいぎょうぶ / Departamento comercial
";I1;;Vocabulário
部屋;へや / Cômodo - quarto;I1;;Vocabulário
静;しず(か) / しず(まる) / せい / Tranquilo;I1;;Kanji
安静;あんせい / Repouso;I1;;Vocabulário
広;ひろ(い) / こう / Amplo - espaçoso;I1;;Kanji
広告;こうこく / Propaganda;I1;;Vocabulário
知;し(る) / ち / Conhecer - saber;I1;;Kanji
知人;ちじん / Conhecido;I1;;Vocabulário
知識;ちしき / Conhecimento;I1;;Vocabulário
知らせる;しらせる / Informar;I1;;Vocabulário
速;はや(い) / そく / Rápido;I1;;Kanji
速度;そくど / Velocidade;I1;;Vocabulário
早速;さっそく/ Imediatamente;I1;;Vocabulário
仕;つか(える) / し / Servir - atender;I1;;Kanji
仕事;しごと / Serviço - trabalho;I1;;Vocabulário
仕方;しかた / Modo - maneira;I1;;Vocabulário
仕上げる;しあげる / Finalizar;I1;;Vocabulário
砂;すな / さ / Areia;I1;;Kanji
砂時計;すなどけい / Ampulheta;I1;;Vocabulário
砂漠;さばく / Deserto;I1;;Vocabulário
落;お(ちる) / お(とす) / らく / Cair;I1;;Kanji
落第;らくだい / Ser reprovado;I1;;Vocabulário
落下;らっか / Queda;I1;;Vocabulário
桃;もも / とう / Pêssego ;I1;;Kanji
桃色;ももいろ / Cor de rosa;I1;;Vocabulário
刀;かたな / とう / Espada;I1;;Kanji
板;いた / ばん / Tábua;I1;;Kanji
道;みち / どう / Caminho - rua;I1;;Kanji
道具;どうぐ / Ferramentas;I1;;Vocabulário
柔道;じゅうどう / Judô;I1;;Vocabulário
舟;ふね / しゅう / Barco - bote;I1;;Kanji
流;なが(れる) / なが(す) / りゅう / Fluir - escorrer;I1;;Kanji
流行;りゅうこう / Estar na moda;I1;;Vocabulário
育;まけ(る) / お(う) / ふ / ぶ / Perder - assumir responsabilidade;I1;;Kanji
勝負;しょうぶ / Vitória ou derrota;I1;;Vocabulário
答;こた(える) / こた(え) / とう / Resposta;I1;;Kanji
解答;かいとう / Resposta - solução;I1;;Vocabulário
追;お(う) / つい / Perseguir;I1;;Kanji
追及;ついきゅう / Procura - busca;I1;;Vocabulário
泳;およ(ぐ) / えい / Nadar;I1;;Kanji
水泳;すいえい / Natação;I1;;Vocabulário
戦;たたか(う) / せん / Lutar - combater;I1;;Kanji
戦争;せんそう / Guerra;I1;;Vocabulário
作戦;さくせん / Tática - estratégia;I1;;Vocabulário
登;のぼ(る) / とう / と / Subir - escalar;I1;;Kanji
登山;とざん / Alpinismo;I1;;Vocabulário
木登り;きのぼり / Subir em árvores;I1;;Vocabulário
取;と(る) / しゅ / Pegar - tirar;I1;;Kanji
受け取る;うけとる / Receber;I1;;Vocabulário
頭取;とうどり / Presidente do banco;I1;;Vocabulário
向;む(かう) / む(ける) / む(こう) / む(き) / こう / Longíquo - virar;I1;;Kanji
向こう側;むこうがわ / Do outro lado;I1;;Vocabulário
方向;ほうこう / Direção;I1;;Vocabulário
城;しろ / じょう / Castelo;I1;;Kanji
大阪城;おおさかじょう / Castelo de Osaka;I1;;Vocabulário
発;はつ / Partida;I1;;Kanji
発音;はつおん / Pronúncia;I1;;Vocabulário
出発;しゅっぱつ / Partida;I1;;Vocabulário
発見;はっけん / Descoberta;I1;;Vocabulário
工;こう / く /  Artesão;I1;;Kanji
工事;こうじ / Obra;I1;;Vocabulário
大工;だいく / Carpinteiro;I1;;Vocabulário
工場;こうじょう / Fábrica;I1;;Vocabulário
悪;わる(い) / あく / Mau - ruim;I1;;Kanji
悪人 ;あくにん / Pessoa má - vilão;I1;;Vocabulário
悪事;あくじ / Crime;I1;;Vocabulário
幸;しあわ(せ) / さいわ(い) / こう / Felicidade - felizmente;I1;;Kanji
幸福;こうふく / Felicidade;I1;;Vocabulário
幸運;"こううん / Sorte
";I1;;Vocabulário
鬼;おに / き / Ogro;I1;;Kanji
意;い / Pensamento - sentimento;I1;;Kanji
意味;いみ / Significado;I1;;Vocabulário
意見;いけん / Opinião;I1;;Vocabulário
注意;ちゅうい / Atenção;I1;;Vocabulário
杯;さかずき / はい / Taça;I1;;Kanji
一杯;いっぱい / Medida de uma xícara - copo;I1;;Vocabulário
乾杯;かんぱい / Saúde (brinde);I1;;Vocabulário
匹;ひき / Contagem de animais pequenos ;I1;;Kanji
一匹;いっぴき / Um animal pequeno;I1;;Vocabulário
